Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-11-30,20:05:00,266.875,266.95,266.8164,266.86,19445,0
2017-11-30,20:10:00,266.84,266.84,266.6719,266.6719,11336,0
2017-11-30,20:15:00,266.69,266.8652,266.68,266.81,16433,0
2017-11-30,20:20:00,266.8054,266.83,266.77,266.8193,25883,0
2017-11-30,20:25:00,266.81,266.88,266.8,266.84,36641,0
2017-11-30,20:30:00,266.836,267.07,266.836,267.07,22647,0
2017-11-30,20:35:00,267.06,267.06,266.9203,266.9406,7659,0
2017-11-30,20:40:00,266.93,266.94,266.73,266.82,32876,0
2017-11-30,20:45:00,266.81,266.89,266.8,266.815,20975,0
2017-11-30,20:50:00,266.81,266.85,266.7966,266.83,23209,0
2017-11-30,20:55:00,266.83,266.87,266.79,266.84,68627,0
2017-11-30,21:00:00,266.84,266.85,266.615,266.67,41725,0
2017-11-30,21:05:00,266.66,266.66,266.41,266.45,22899,0
2017-11-30,21:10:00,266.41,266.41,266.1605,266.17,35867,0
2017-11-30,21:15:00,266.161,266.41,266.161,266.41,14334,0
2017-11-30,21:20:00,266.42,266.4935,266.401,266.415,15879,0
2017-11-30,21:25:00,266.4,266.54,266.37,266.5084,18643,0
2017-11-30,21:30:00,266.5,266.64,266.5,266.64,28847,0
2017-11-30,21:35:00,266.64,266.67,266.5301,266.5699,23032,0
2017-11-30,21:40:00,266.59,266.66,266.33,266.35,35485,0
2017-11-30,21:45:00,266.34,266.52,266.34,266.48,154167,0
2017-11-30,21:50:00,266.49,267.01,266.4866,267.01,64836,0
2017-11-30,21:55:00,267.01,267.15,266.89,267.04,44642,0
2017-11-30,22:00:00,267.03,267.05,266.65,266.89,1677240,0
2017-12-01,15:35:00,266.61,266.92,266.56,266.7,152742,0
2017-12-01,15:40:00,266.73,266.79,266.58,266.74,95773,0
2017-12-01,15:45:00,266.71,266.86,266.37,266.38,82364,0
2017-12-01,15:50:00,266.37,266.54,266.33,266.4939,74427,0
2017-12-01,15:55:00,266.51,266.65,266.47,266.52,28903,0
2017-12-01,16:00:00,266.5129,266.6205,266.43,266.5957,20422,0
2017-12-01,16:05:00,266.55,266.6299,266.37,266.42,29308,0
2017-12-01,16:10:00,266.42,266.65,266.4,266.63,19467,0
2017-12-01,16:15:00,266.63,266.79,266.6,266.79,24053,0
2017-12-01,16:20:00,266.76,267.12,266.71,267.06,36594,0
2017-12-01,16:25:00,267.05,267.1385,266.8,266.8,23087,0
2017-12-01,16:30:00,266.87,266.94,266.83,266.86,16023,0
2017-12-01,16:35:00,266.87,267.049,266.42,266.83,68318,0
2017-12-01,16:40:00,266.8236,266.88,266.59,266.61,63867,0
2017-12-01,16:45:00,266.68,266.93,266.68,266.85,18476,0
2017-12-01,16:50:00,266.85,266.99,266.8397,266.97,21954,0
2017-12-01,16:55:00,266.97,267.1,266.97,267,13291,0
2017-12-01,17:00:00,267.02,267.11,266.9709,266.98,30243,0
2017-12-01,17:05:00,266.96,267.008,266.89,266.98,33153,0
2017-12-01,17:10:00,266.99,266.9988,265.84,266.27,101283,0
2017-12-01,17:15:00,266.23,266.25,263.88,265.07,289080,0
2017-12-01,17:20:00,265.05,265.44,264.82,265.28,137041,0
2017-12-01,17:25:00,265.3,265.35,264.19,264.22,144267,0
2017-12-01,17:30:00,264.17,264.47,263.31,263.52,219030,0
2017-12-01,17:35:00,263.52,264.32,262.57,263.9,256348,0
2017-12-01,17:40:00,263.86,264.61,263.66,264.44,105604,0
2017-12-01,17:45:00,264.46,264.84,264.25,264.42,106193,0
2017-12-01,17:50:00,264.39,264.39,263.84,263.8474,49973,0
2017-12-01,17:55:00,263.78,264.41,263.41,264.32,94859,0
2017-12-01,18:00:00,264.43,265,263.86,265,80280,0
2017-12-01,18:05:00,265,265.15,264.61,265.02,55765,0
2017-12-01,18:10:00,265.1,265.43,264.8472,265.16,71492,0
2017-12-01,18:15:00,265.0901,265.19,264.87,264.98,25804,0
2017-12-01,18:20:00,265.03,265.46,264.71,264.98,91267,0
2017-12-01,18:25:00,265.04,265.1699,264.85,265.1699,28580,0
2017-12-01,18:30:00,265.12,265.2,264.92,265.0968,18931,0
2017-12-01,18:35:00,265.1,265.14,264.84,264.84,16716,0
2017-12-01,18:40:00,264.89,265.1192,264.87,264.94,31324,0
2017-12-01,18:45:00,264.91,265.24,264.86,265.2299,25643,0
2017-12-01,18:50:00,265.19,265.48,265.13,265.47,49538,0
2017-12-01,18:55:00,265.41,265.58,265.35,265.419,39109,0
2017-12-01,19:00:00,265.4701,265.55,265.44,265.54,12014,0
2017-12-01,19:05:00,265.48,265.7,265.4645,265.48,28184,0
2017-12-01,19:10:00,265.48,265.49,265.32,265.36,8073,0
2017-12-01,19:15:00,265.36,265.6799,265.36,265.66,18883,0
2017-12-01,19:20:00,265.62,265.62,265.4788,265.59,11496,0
2017-12-01,19:25:00,265.6,265.71,265.5547,265.69,21923,0
2017-12-01,19:30:00,265.69,265.74,265.64,265.72,10986,0
2017-12-01,19:35:00,265.73,266.02,265.68,265.9922,81715,0
2017-12-01,19:40:00,266.043,266.07,265.9499,266.01,36720,0
2017-12-01,19:45:00,266.0262,266.0301,265.78,265.84,17337,0
2017-12-01,19:50:00,265.85,265.86,265.55,265.7301,35609,0
